value_clean,priority,property_crime
911 INC/ SILENT/ABUSE,MED,N
ABANDON/ ENDANGER CHILD CRIMINAL NEGLIGENCE,HIGH,N
ABANDON/ ENDANGER CHILD IMMINENT DANGER BODILY INJ,HIGH,N
ABANDON/ ENDANGER CHILD W/INTENT TO RETURN,HIGH,N
ACCIDENT INVOLVING DAMAGE TO VEHICLE,HIGH,N
ACCIDENT INVOLVING PERSONAL INJURY OR DEATH,HIGH,N
ACCIDENT MOTOR VEHICLE,HIGH,N
AGGRAVATED ASSAULT DEADLY WEAPON,HIGH,N
AGGRAVATED ASSAULT DEADLY WEAPON FAMILY MEMBER,HIGH,N
AGGRAVATED ASSAULT DEADLY WEAPON FAMILY MEMBER SERIOUS BODILY INJURY,HIGH,N
AGGRAVATED ASSAULT PUBLIC SERVANT,HIGH,N
AGGRAVATED ASSAULT SBI,HIGH,N
AGGRAVATED ROBBERY,HIGH,N
AGGRAVATED SEXUAL ASSAULT,HIGH,N
AGGRAVATED SEXUAL ASSAULT,HIGH,N
ALARM BURGLARY,HIGH,N
ALARM FIRE/ MEDICAL,VERY HIGH,N
ALARM ROBBERY,VERY HIGH,N
ALCOHOL VIOLATIONS (NO PI),LOW,N
ANIMAL BITE /  SCRATCH CASE,LOW,N
ANIMAL COMPLAINT,LOW,N
ANIMAL IMPOUND (NON-COV),LOW,N
ANIMAL NUISANCE,LOW,N
ANIMAL PROGRAM (TNR),LOW,N
ARREST WARRANT,MED,N
ARSON,HIGH,Y
ASSAULT,HIGH,N
ASSAULT,HIGH,N
ASSAULT AGAINST PUBLIC SERVANT,HIGH,N
ASSAULT AGAINST PUBLIC SERVANT,HIGH,N
ASSAULT CAUSES BODILY INJURY,HIGH,N
ASSAULT CAUSES BODILY INJURY:FAMILY MEMBER,HIGH,N
ASSAULT CAUSES BODILY INJURY:FAMILY MEMBER (PRIOR CONV),HIGH,N
ASSAULT THREAT OR OFFENSIVE TOUCH,HIGH,N
ASSAULT THREAT OR OFFENSIVE TOUCH:FAMILY MEMBER,HIGH,N
ASSAULT/ FAMILY/CHOKING/STRANGULAT ION,HIGH,N
ASSIST OTHER AGENCY,LOW,N
ASSIST THE PUBLIC,LOW,N
ATT AGGRAVATED ASSAULT PUBLIC SERVANT,HIGH,N
ATT BURGLARY VEHICLE,MED,N
ATTEMPTED SUICIDE,HIGH,N
BRIBERY,MED,N
BURGLARY,HIGH,Y
BURGLARY COIN OP MACHINE,MED,Y
BURGLARY OF A VEHICLE,MED,Y
BURGLARY OF A VEHICLE - 2 OR MORE PREV CONVIC,MED,Y
BURGLARY VEHICLE,MED,Y
CAPITAL MURDER,VERY HIGH,N
CITY CODE VIOLATION,LOW,N
CIVIL STAND-BY,LOW,N
CIVIL STANDBY,LOW,N
COLLECTION OF GARBAGE AND RUBBISH,LOW,N
COMPUTER SECURITY BREACH,MED,N
CONFISCATED DRUGS/ EQUIPMENT,MED,N
CONSUMPTION OF ALCOHOL BY A MINOR,LOW,N
CONSUMPTION OF ALCOHOLIC BEV ON PREMISES LIC FOR OFF-PREMISES CONSUMP,LOW,N
CONSUMPTION OF ALCOHOLIC BEVERAGES NEAR  A SCHOOL,LOW,N
COV - ABANDONED ICE BOX REFRIGERATORS OR OTHER,LOW,N
COV - ACCUMULATION OF GARBAGE TRASH WEEDS OR OTHER MATTER,LOW,N
COV - ANIMAL AT LARGE FELINE (UNALTERED),LOW,N
COV - ANIMAL NUISANCE - CHASE PEDESTRIANS BICYCLES OR VEHICLES,LOW,N
COV - ANIMAL NUISANCE - DAMAGING PROPERTY OF OTHERS,LOW,N
COV - ANIMAL NUISANCE - DEFECATE ON PROPERTY OF OTHERS,LOW,N
COV - ANIMAL NUISANCE - DOG FREE OF RESTRAINT,LOW,N
COV - ANIMAL NUISANCE - LOUD & OBNOXIOUS NOISE,LOW,N
COV - ANIMAL NUISANCE - MOLEST PASSERBY,LOW,N
