"","value_clean","value_clean_OG","n"
"1","INVESTIGATION /  INFORMATION","INVESTIGATION /  INFORMATION",497
"2","SUSPICIOUS PERSON /  VEHICLE / CIRCUMSTANCES","SUSPICIOUS PERSON /  VEHICLE / CIRCUMSTANCES",334
"3","IMPOUNDED VEHICLE","IMPOUNDED VEHICLE",215
"4","WELFARE CHECK","WELFARE CHECK",198
"5","DISTURBANCE","DISTURBANCE",178
"6","OPERATING ALARM SYSTEM W/ O PERMIT","COV - OPERATING ALARM SYSTEM W/ O PERMIT",170
"7","POSSESSION OR DELIVERY OF DRUG PARAPHERNALIA","POSSESSION OR DELIVERY OF DRUG PARAPHERNALIA",139
"8","ACCIDENT MOTOR VEHICLE","ACCIDENT MOTOR VEHICLE",112
"9","ANIMAL NUISANCE","COV - ANIMAL NUISANCE - DOG FREE OF RESTRAINT",91
"10","WARRANT ARREST - OUT OF JURISDICTION","WARRANT ARREST - OUT OF JURISDICTION",75
"11","OPEN DOOR /  WINDOW","OPEN DOOR /  WINDOW",59
"12","BURGLARY OF A VEHICLE","BURGLARY OF A VEHICLE",58
"13","COV - AUTHORIZED HOURS OF CONSTRUCTION","COV - AUTHORIZED HOURS OF CONSTRUCTION",50
"14","PROPERTY FOUND /  LOST / RECOVERED","PROPERTY FOUND /  LOST / RECOVERED",49
"15","WARRANT ARREST - LOCAL","WARRANT ARREST - LOCAL",49
"16","ASSIST OTHER AGENCY","ASSIST OTHER AGENCY",48
"17","EMERGENCY DETENTION","EMERGENCY DETENTION",48
"18","FRAUDULENT USE/ POSS OF IDENTIFYING INFO","FRAUDULENT USE/ POSS OF IDENTIFYING INFO",32
"19","CRIMINAL MISCHIEF","CRIMINAL MISCHIEF >=$100<$750",26
"20","ANIMAL IMPOUND (NON-COV)","ANIMAL IMPOUND (NON-COV)",24
"21","ALARM BURGLARY","ALARM BURGLARY",23
"22","DAMAGE CITY PROPERTY","DAMAGE CITY PROPERTY",21
"23","DRIVING WHILE INTOXICATED","DRIVING WHILE INTOXICATED MB",21
"24","THEFT PROP","THEFT PROP (SHOPLIFTING) <$100",21
"25","ASSAULT CAUSES BODILY INJURY","ASSAULT CAUSES BODILY INJURY:FAMILY MEMBER",17
"26","THEFT PROP","THEFT PROP (SHOPLIFTING) >=$100<$750",17
"27","ANIMAL PROGRAM (TNR)","ANIMAL PROGRAM (TNR)",15
"28","BURGLARY","BURGLARY",15
"29","HARASSMENT","HARASSMENT",15
"30","FORGERY","FORGERY",14
"31","EVADING ARREST/ DETENTION","EVADING ARREST/ DETENTION USING VEH",13
"32","POSS CS PG","POSS CS PG 1 >= 1G < 4G",13
"33","THEFT PROP","THEFT PROP <$100",13
"34","THEFT PROP","THEFT PROP >=$100<$750",13
"35","DECEASED PERSON","DECEASED PERSON",12
"36","POSS CS PG","POSS CS PG 1 < 1G",12
"37","THEFT PROP","THEFT PROP >=$750<$2500",12
"38","POSS CS PG","POSS CS PG 2 < 1G",11
"39","UNLAWFULLY CARRYING A WEAPON","UNLAWFULLY CARRYING A WEAPON",11
"40","ACCIDENT INVOLVING DAMAGE TO VEHICLE","ACCIDENT INVOLVING DAMAGE TO VEHICLE",10
"41","CRIMINAL TRESPASS","CRIMINAL TRESPASS",10
"42","FAILED TO COMPLY WITH REQUIREMENTS ON STRIKING UNATTENDED VEH","FAILED TO COMPLY WITH REQUIREMENTS ON STRIKING UNATTENDED VEH",10
