year,high,low,med,very_high,total,per_high,per_low,per_med,per_v_high
2011-01-01,129,1700,1111,7,2947,4.3773328808958265,57.68578215134035,37.699355276552424,0.23752969121140144
2012-01-01,117,1618,971,14,2720,4.301470588235294,59.48529411764706,35.69852941176471,0.5147058823529411
2013-01-01,126,1639,817,7,2589,4.866743916570105,63.30629586713017,31.556585554268057,0.27037466203167243
2014-01-01,162,1656,801,11,2630,6.159695817490494,62.965779467680605,30.456273764258558,0.4182509505703422
2015-01-01,145,1635,886,8,2674,5.422587883320867,61.144353029169785,33.1338818249813,0.2991772625280479
2016-01-01,175,2097,975,9,3256,5.374692874692875,64.40417690417691,29.944717444717444,0.2764127764127764
2017-01-01,177,1879,814,13,2883,6.139438085327783,65.17516475893167,28.234477974332293,0.4509191814082553
2018-01-01,150,1592,669,16,2427,6.180469715698393,65.59538524927895,27.564894932014834,0.6592501030078286
2019-01-01,158,1875,717,6,2756,5.732946298984035,68.03338171262699,26.01596516690856,0.21770682148040638
2020-01-01,138,1205,754,6,2103,6.562054208273895,57.29909652876842,35.85354255825012,0.28530670470756064
2021-01-01,160,1641,1027,12,2840,5.633802816901409,57.781690140845065,36.16197183098592,0.42253521126760557
