OFFENSE DESCRIPTION,STATUTE,TYPE,CLASS,NIBR,UCR
ABANDON/ENDANGER CHILD CRIMINAL NEGLIGENCE,22.041(c)(2),Offense,FELONY,13A,04
ABANDON/ENDANGER CHILD CRIMINAL NEGLIGENCE,22.041(c),Offense,FELONY,13A,04
ABANDON/ENDANGER CHILD IMMINENT DANGER,22.041(e),Offense,FELONY,13A,04
BODILY INJ,,,,,
ABANDON/ENDANGER CHILD W/INTENT TO RETURN,22.041(b),Offense,FELONY,13B,08
ABANDON/ENDANGER CHILD W/O INTENT TO RETURN,22.041(b),Offense,FELONY,13A,04
ABUSE OF A CORPSE,42.08,Offense,FELONY,90Z,26
ABUSE OF OFFICIAL CAPACITY,39.02(c)(4),Offense,FELONY,23H,06
ABUSE OR THREATEN (OFFENSIVE MANNER),,Offense,,90C,24
ACCIDENT INVOLVING DAMAGE TO VEHICLE,550.022,Offense,,TRF,TRF
ACCIDENT INVOLVING PERSONAL INJURY OR DEATH,550.021,Offense,,TRF,TRF
ACCIDENT REPORT FALSE INFORMATION,601.004(I),Offense,,TRF,TRF
"AGGRAVATED ASSAULT, DEADLY WEAPON",22.02 (a)(2),Offense,FELONY,13A,04
"AGGRAVATED ASSAULT, DEADLY WEAPON, FAMILY",22.02(b)(1),Offense,FELONY,13A,04
MEMBER,,,,,
"AGGRAVATED ASSAULT, DEADLY WEAPON, FAMILY",22.02(B)(1),Offense,FELONY,13A,04
"MEMBER, SERIOUS BODILY INJURY",,,,,
"AGGRAVATED ASSAULT, PUBLIC SERVANT",22.02(b)(2),Offense,FELONY,13A,04
"AGGRAVATED ASSAULT, SBI",22.02 (a)(1),Offense,FELONY,13A,04
AGGRAVATED ROBBERY,PC 29.03,Offense,FELONY,120,03
AGGRAVATED SEXUAL ASSAULT,PC 22.021,Offense,FELONY,11A,02
AGGRAVATED SEXUAL ASSAULT,22.021(a)(2),Offense,FELONY,11B,17
"",(C),,,,
AGGRAVATED SEXUAL ASSAULT - FORCIBLE SODOMY,PC 22.021,Offense,FELONY,11B,17
AIDING SUICIDE,22.08(a),Offense,MISD,90Z,26
AIDING SUICIDE CAUSING SBI,22.08(b),Offense,FELONY,13A,04
ALONGSIDE (OR OPPOSITE) STREET EXCAVATION (OR,545.302,Offense,,TRF,TRF
"OBSTRUCTION) (STOP, STAND OR PARK)",,,,,
"ALTER (CHANGE, ERASE, MUTILATE) VEH. I.D.",501.151,Offense,,TRF,TRF
NUMBER (OR SERIAL NUMBER) OF VEH. (OR PART),,,,,
ANIMAL BITE / SCRATCH CASE,,City,MISD,TRF,TRF
ANIMAL IMPOUND (NON-COV),MISC,City,OTHER,90Z,26
ANIMAL PROGRAM (TNR),,City,,TRF,TRF
ARSON,PC 28.02,Offense,FELONY,200,09
ARSON - BODILY INJURY OR DEATH,PC 28.02,Offense,FELONY,200,09
